id,brand,model,mileage,year,link,body_status,price
2983,پژو,2008,nan,2019,https://bama.ir/car/detail-r2xdanqn-peugeot-2008-1398,1,800000000
2984,هایما,S7,18000,2019,https://bama.ir/car/detail-ufg46nbf-haima-s7-1.8l-turbo-1398,1,640000000
2985,پژو,207,345,2020,https://bama.ir/car/detail-ywegf1qh-peugeot-207-mt-1399,1,285000000
2986,هیوندای,اکسنت (مونتاژ),0,2018,https://bama.ir/car/detail-5m6xkkk2-hyundai-accent-ir-1397,1,710000000
2987,ام وی ام,315هاچ بک,105000,2015,https://bama.ir/car/detail-dnz5bmg-mvm-315-hatchback-basic-1394,1,148000000
2988,ب ام و,سری 5 سدان,60000,2014,https://bama.ir/car/detail-1pe5gqtx-bmw-5-series-sedan-528i-2014,2,2450000000
2989,دنا,پلاس,0,2021,https://bama.ir/car/detail-p8313mv4-dena-plus-basic-manual-1400,1,322000000
2990,برلیانس,H320,33000,2018,https://bama.ir/car/detail-88njxxen-brilliance-h320-at-1.65-1397,1,315000000
2991,برلیانس,H320,45000,2018,https://bama.ir/car/detail-4nak1mvg-brilliance-h320-at-1.65-1397,1,319000000
2992,هیوندای,آزرا (گرنجور),nan,2010,https://bama.ir/car/detail-85p676ky-hyundai-azera-6cylinder-2010,3,650000000
2993,پژو,206 ,0,2020,https://bama.ir/car/detail-icpyy7u8-peugeot-206-ir-type5-1399,1,263000000
2994,پژو,206 ,110000,2011,https://bama.ir/car/detail-mf7tagq6-peugeot-206-ir-type6-1390,1,168000000
2995,پژو,206 SD,90000,2014,https://bama.ir/car/detail-zuksmk2k-peugeot-206sd-v8-1393,1,157000000
2996,هیوندای,آوانته,nan,2010,https://bama.ir/car/detail-jkz2y4aw-hyundai-avante-mt-1389,14,310000000
2997,ب ام و,X3,50000,2014,https://bama.ir/car/detail-f9vfxge6-bmw-x3-28-2014,1,2090000000
2998,پژو,206 ,0,2020,https://bama.ir/car/detail-rv8sqaga-peugeot-206-ir-type2-1399,1,196000000
2999,کیا,سراتو (مونتاژ),76000,2016,https://bama.ir/car/detail-c734cjf2-kia-cerato-ir-2000-basic-1395,2,500000000
3000,لکسوس,RX,0,2018,https://bama.ir/car/detail-efn6oxj8-lexus-rx-200t-f-sport-2018,1,8000000000
3001,دنا,معمولی,18000,2018,https://bama.ir/car/detail-w93mozd-dena-1.7-1397,2,240000000
3002,دانگ فنگ,دیگنیتی,0,2021,https://bama.ir/car/detail-bizf2ocg-dongfeng-dignity-1400,1,970000000
3003,پورشه,ماکان,nan,2017,https://bama.ir/car/detail-khw1vsh3-porsche-macan-2017,1,7400000000
3004,هیوندای,سانتافه (ix45),nan,2016,https://bama.ir/car/detail-ruq751qz-hyundai-santafe-ix45-2400cc-2016,1,1500000000
3005,لکسوس,NX هیبرید,68000,2016,https://bama.ir/car/detail-dgr7k1mx-lexus-nx-hybrid-300h-f-sport-2016,5,2400000000
3006,پژو,405,93000,2016,https://bama.ir/car/detail-hryec9kp-peugeot-405-glx-1395,1,137000000
3007,کیا,کادنزا,101000,2011,https://bama.ir/car/detail-pfg36vg-kia-cadenza-2011,1,995000000
3008,سانگ یانگ,تیوولی,55000,2017,https://bama.ir/car/detail-ma1t6am-ssang-yong-tivoli-elite-2017,1,675000000
3009,دانگ فنگ,H30 کراس,50000,2018,https://bama.ir/car/detail-gtasjjh1-dongfeng-h30-cross-1397,1,280000000
3010,هیوندای,سانتافه (ix45),nan,2017,https://bama.ir/car/detail-ozdkbtes-hyundai-santafe-ix45-2400cc-2017,1,1730000000
3011,تویوتا,پرادو دو در,180000,2012,https://bama.ir/car/detail-nj9phfvs-toyota-prado-2doors-4cylinder-2012,1,2100000000
